id|name|link|faction_id|source_id|role|unit_composition|transport|power_points|priest|psyker|open_play_only|crusade_only|virtual|Cost|cost_per_unit|
000001460|Caladius Grav-tank|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Caladius-Grav-tank|AC|000000146|Heavy Support|A Caladius Grav-tank is equipped with: twin iliastus accelerator cannon; twin lastrum bolt cannon.||11|||false|false|false||false|
000001461|Coronus Grav-carrier|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Coronus-Grav-carrier|AC|000000146|Dedicated Transport|A Coronus Grav-carrier is equipped with: twin arachnus blaze cannon; twin lastrum bolt cannon.|This model has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 6 <span class="tooltip00145" data-tooltip-content="#tooltip_content00145" data-tooltip-anchor="#tooltip_content00145"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">INFANTRY</span></span> models.|11|||false|false|false||false|
000001479|Telemon Heavy Dreadnought|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Telemon-Heavy-Dreadnought|AC|000000146|Heavy Support|A Telemon Heavy Dreadnought is equipped with: 2 iliastus accelerator culverin; spiculus bolt launcher.||14|||false|false|false||false|
000001557|Contemptor-Galatus Dreadnought|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Contemptor-Galatus-Dreadnought|AC|000000146|Elites|A Contemptor-Galatus Dreadnought is equipped with: Galatus warblade; Galatus shield.||9|||false|false|false||false|
000001558|Aquilon Custodians|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Aquilon-Custodians|AC|000000146|Elites|If this unit contains 4 or more models it has <b>Power Rating 22</b>. Every model is equipped with: lastrum storm bolter; solerite power gauntlet.||11|||false|false|false||false|
000001559|Custodian Guard with Adrasite and Pyrithite Spears|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Custodian-Guard-with-Adrasite-and-Pyrithite-Spears|AC|000000146|Troops|If this unit contains 4 or more models, it has <b>Power Rating 14</b>. Every model is equipped with: adrasite spear.||8|||false|false|false||false|
000001560|Agamatus Custodians|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Agamatus-Custodians|AC|000000146|Fast Attack|If this unit contains 4 or more models it has <b>Power Rating 30</b>. Every model is equipped with: lastrum bolt cannon; interceptor lance.||15|||false|false|false||false|
000001561|Venatari Custodians|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Venatari-Custodians|AC|000000146|Fast Attack|If this unit contains 4 or more models, it has <b>Power Rating 16</b>. Every model is equipped with: kinetic destroyer; tarsus buckler.||8|||false|false|false||false|
000001562|Pallas Grav-attack|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Pallas-Grav-attack|AC|000000146|Fast Attack|A Pallas Grav-attack is equipped with: twin arachnus blaze cannon.||5|||false|false|false||false|
000001563|Sagittarum Custodians|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Sagittarum-Custodians|AC|000000146|Troops|If this unit contains 4 or more models, it has <b>Power Rating 13</b>. Every model is equipped with: adrastus bolt caliver.||7|||false|false|false||false|
000001564|Orion Assault Dropship|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Orion-Assault-Dropship|AC|000000146|Flyers|An Orion Assault Dropship is equipped with: 2 arachnus heavy blaze cannons; 2 twin lastrum bolt cannons; 2 spiculus heavy bolt launchers.|This model has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 12 <span class="tooltip00145" data-tooltip-content="#tooltip_content00145" data-tooltip-anchor="#tooltip_content00145"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">INFANTRY</span></span> models or 7 <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">INFANTRY</span> models and 1 <span class="tooltip00146" data-tooltip-content="#tooltip_content00146" data-tooltip-anchor="#tooltip_content00146"><span class="kwb">CONTEMPTOR-ACHILLUS</span> <span class="kwb">DREADNOUGHT</span></span>, 1 <span class="tooltip00147" data-tooltip-content="#tooltip_content00147" data-tooltip-anchor="#tooltip_content00147"><span class="kwb">CONTEMPTOR-GALATUS</span> <span class="kwb">DREADNOUGHT</span></span> or 1 <span class="tooltip00148" data-tooltip-content="#tooltip_content00148" data-tooltip-anchor="#tooltip_content00148"><span class="kwb">VENERABLE</span> <span class="kwb">CONTEMPTOR</span> <span class="kwb">DREADNOUGHT</span></span> model.|23|||false|false|false||false|
000001680|Ares Gunship|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Ares-Gunship|AC|000000146|Flyers|An Ares Gunship is equipped with: 2 arachnus heavy blaze cannons; arachnus magna-blaze cannon; infernus firebombs.||20|||false|false|false||false|
000002088|Aleya|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Aleya|AC|000000024|HQ|Aleya is equipped with: Somnus, misericordia. Your army can only include one <span class="tooltip00149" data-tooltip-content="#tooltip_content00149" data-tooltip-anchor="#tooltip_content00149"><span class="kwb">ALEYA</span></span> model.||4|||false|false|false||false|
000002518|Blade Champion|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Blade-Champion|AC|000000024|HQ|A Blade Champion is equipped with: vaultswords.||6|||false|false|false||false|
000002519|Valerian|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Valerian|AC|000000024|HQ|Valerian is equipped with: Gnosis, misericordia. Your army can only include one <span class="tooltip00150" data-tooltip-content="#tooltip_content00150" data-tooltip-anchor="#tooltip_content00150"><span class="kwb">VALERIAN</span></span> model.||7|||false|false|false||false|
000002520|Knight-Centura|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Knight-Centura|AC|000000024|HQ|A Knight-Centura is equipped with: executioner greatblade.||3|||false|false|false||false|
000002521|Prosecutors|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Prosecutors|AC|000000024|Troops|If this unit contains 6 or more models, it has <b>Power Rating 6</b>. Every model is equipped with: boltgun.||3|||false|false|false||false|
000002522|Vigilators|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Vigilators|AC|000000024|Elites|If this unit contains 6 or more models, it has <b>Power Rating 6</b>. Every model is equipped with: executioner greatblade.||3|||false|false|false||false|
000002523|Witchseekers|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Witchseekers|AC|000000024|Fast Attack|If this unit contains 6 or more models, it has <b>Power Rating 6</b>. Every model is equipped with: witchseeker flamer.||3|||false|false|false||false|
000002524|Anathema Psykana Rhino|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Anathema-Psykana-Rhino|AC|000000024|Dedicated Transport|An Anathema Psykana Rhino is equipped with: storm bolter.|This model has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 10 <span class="tooltip00151" data-tooltip-content="#tooltip_content00151" data-tooltip-anchor="#tooltip_content00151"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> <span class="kwb">INFANTRY</span></span> models.|4|||false|false|false||false|
000000838|Belisarius Cawl|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Belisarius-Cawl|AdM|000000015|HQ|Belisarius Cawl is equipped with: solar atomiser; arc scourge; mechadendrite hive; Omnissian axe. Your army can only include one <span class="tooltip00152" data-tooltip-content="#tooltip_content00152" data-tooltip-anchor="#tooltip_content00152"><span class="kwb">BELISARIUS</span> <span class="kwb">CAWL</span></span> model.||9|||false|false|false||false|
000000839|Tech-Priest Dominus|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Tech-Priest-Dominus|AdM|000000015|HQ|A Tech-Priest Dominus is equipped with: macrostubber; volkite blaster; Omnissian axe.||4|||false|false|false||false|
000000840|Tech-Priest Enginseer|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Tech-Priest-Enginseer|AdM|000000015|HQ|A Tech-Priest Enginseer is equipped with: Mechanicus pistol; Omnissian axe; servo-arm.||3|||false|false|false||false|
000000841|Kataphron Breachers|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Kataphron-Breachers|AdM|000000015|Troops|If this unit contains 4 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: heavy arc rifle; arc claw.||6|||false|false|false||false|
000000842|Kataphron Destroyers|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Kataphron-Destroyers|AdM|000000015|Troops|If this unit contains 4 or more models, it has <b>Power Rating 14</b>. Every model is equipped with: heavy grav-cannon; phosphor blaster.||7|||false|false|false||false|
000000843|Fulgurite Electro-Priests|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Fulgurite-Electro-Priests|AdM|000000015|Elites|If this unit contains between 6 and 10 models, it has <b>Power Rating 6</b>. If this unit contains between 11 and 15 models, it has <b>Power Rating 9</b>. If this unit contains 16 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: electroleech stave.||3|||false|false|false||false|
000000844|Corpuscarii Electro-Priests|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Corpuscarii-Electro-Priests|AdM|000000015|Elites|If this unit contains between 6 and 10 models, it has <b>Power Rating 6</b>. If this unit contains between 11 and 15 models, it has <b>Power Rating 9</b>. If this unit contains 16 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: electrostatic gauntlets.||3|||false|false|false||false|
000000845|Kastelan Robots|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Kastelan-Robots|AdM|000000015|Heavy Support|If this unit contains between 3 and 4 models, it has <b>Power Rating 20</b>. If this unit contains between 5 and 6 models, it has <b>Power Rating 30</b>. Every model is equipped with: Kastelan phosphor blaster; incendine combustor; Kastelan fist.||10|||false|false|false||false|
000000846|Cybernetica Datasmith|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Cybernetica-Datasmith|AdM|000000015|Elites|A Cybernetics Datasmith is equipped with: gamma pistol; power fist.||2|||false|false|false||false|
000000847|Servitors|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Servitors|AdM|000000015|Elites|Every model is equipped with: servo-arm.||2|||false|false|false|28|true|
000000848|Skitarii Rangers|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Skitarii-Rangers|AdM|000000015|Troops|If this unit contains between 6 and 10 models, it has <b>Power Rating 6</b>. If this unit contains between 11 and 15 models, it has <b>Power Rating 9</b>. If this unit contains 16 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: galvanic rifle.||3|||false|false|false||false|
000000849|Skitarii Vanguard|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Skitarii-Vanguard|AdM|000000015|Troops|If this unit contains between 6 and 10 models, it has <b>Power Rating 6</b>. If this unit contains between 11 and 15 models, it has <b>Power Rating 9</b>. If this unit contains 16 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: radium carbine.||3|||false|false|false||false|
000000850|Sicarian Infiltrators|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Sicarian-Infiltrators|AdM|000000015|Elites|If this unit contains 6 or more models, it has <b>Power Rating 8</b>. Every model is equipped with: stubcarbine; power sword.||4|||false|false|false||false|
000000851|Sicarian Ruststalkers|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Sicarian-Ruststalkers|AdM|000000015|Elites|If this unit contains 6 or more models, it has <b>Power Rating 8</b>. Every model is equipped with: chordclaw; transonic razor.||4|||false|false|false||false|
000000852|Ironstrider Ballistarii|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Ironstrider-Ballistarii|AdM|000000015|Fast Attack|Increase this unit’s <b>Power Rating</b> by <b>+4</b> for every additional Ironstrider Ballistarii it includes. Every model is equipped with: twin cognis autocannon.||4|||false|false|false||false|
000000853|Sydonian Dragoons|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Sydonian-Dragoons|AdM|000000015|Fast Attack|Increase this unit's <b>Power Rating</b> by <b>+3</b> for every additional Sydonian Dragoon it includes. Every model is equipped with: radium jezzail.||3|||false|false|false||false|
000000854|Onager Dunecrawler|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Onager-Dunecrawler|AdM|000000015|Heavy Support|An Onager Dunecrawler is equipped with: eradication beamer.||6|||false|false|false||false|
000001525|Secutarii Hoplites|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Secutarii-Hoplites|AdM|000000146|Elites|If this unit contains 6 or more models, it has <b>Power Rating 4</b>. Every model is equipped with: arc lance; mag-inverter shield.||2|||false|false|false||false|
000001526|Secutarii Peltasts|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Secutarii-Peltasts|AdM|000000146|Elites|If this unit contains 6 or more models, it has <b>Power Rating 4</b>. Every model is equipped with: galvanic caster.||2|||false|false|false||false|
000001533|Terrax-pattern Termite|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Terrax-pattern-Termite|AdM|000000146|Dedicated Transport|A Terrax pattern Termite is equipped with: Terrax melta cutter, 2 Terrax storm bolters; Termite drill.|This model has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 12 <span class="tooltip00153" data-tooltip-content="#tooltip_content00153" data-tooltip-anchor="#tooltip_content00153"><span class="kwb2">&lt;<span class="kwb3">F</span>ORGE</span> <span class="kwb">WORLD&gt;</span> <span class="kwb">INFANTRY</span></span> or <span class="tooltip00154" data-tooltip-content="#tooltip_content00154" data-tooltip-anchor="#tooltip_content00154"><span class="kwb">SECUTARII</span> <span class="kwb">INFANTRY</span></span> models. It cannot transport <span class="tooltip00152" data-tooltip-content="#tooltip_content00152" data-tooltip-anchor="#tooltip_content00152"><span class="kwb">BELISARIUS</span> <span class="kwb">CAWL</span></span>, <span class="tooltip00155" data-tooltip-content="#tooltip_content00155" data-tooltip-anchor="#tooltip_content00155"><span class="kwb">KATAPHRON</span> <span class="kwb">BREACHER</span></span> or <span class="tooltip00156" data-tooltip-content="#tooltip_content00156" data-tooltip-anchor="#tooltip_content00156"><span class="kwb">KATAPHRON</span> <span class="kwb">DESTROYER</span></span> models.|10|||false|false|false||false|
000001580|Tech-Priest Manipulus|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Tech-Priest-Manipulus|AdM|000000015|HQ|A Tech-Priest Manipulus is equipped with: magnarail lance; Manipulus mechadendrites; Omnissian staff.||4|||false|false|false||false|
000001650|Skorpius Dunerider|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Skorpius-Dunerider|AdM|000000015|Dedicated Transport|A Skorpius Dunerider is equipped with: 2 cognis heavy stubbers; twin cognis heavy stubber.|This model has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 12 <span class="tooltip00153" data-tooltip-content="#tooltip_content00153" data-tooltip-anchor="#tooltip_content00153"><span class="kwb2">&lt;<span class="kwb3">F</span>ORGE</span> <span class="kwb">WORLD&gt;</span> <span class="kwb">INFANTRY</span></span> models.|5|||false|false|false||false|
000001651|Skorpius Disintegrator|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Skorpius-Disintegrator|AdM|000000015|Heavy Support|A Skorpius Disintegrator is equipped with: 3 cognis heavy stubbers; disruptor missile launcher; belleros energy cannon.||8|||false|false|false||false|
000001822|X-101|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/X-101|AdM|000000080|Elites|X-101 is a single model armed with a grav-gun and hydraulic claw. Only one of this model can be included in your army.||2|||false|false|false||false|
000002081|Serberys Sulphurhounds|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Serberys-Sulphurhounds|AdM|000000015|Fast Attack|If this unit contains between 4 and 6 models, it has <b>Power Rating 7</b>. If this unit contains 7 or more models, it has <b>Power Rating 10</b>.<br> • Every Serberys Sulphurhound is equipped with: 2 phosphor pistols; sulphur breath; clawed limbs.<br> • The Serberys Sulphurhound Alpha is equipped with: phosphor blast pistol; sulphur breath; arc maul; clawed limbs.||4|||false|false|false||false|
000002082|Serberys Raiders|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Serberys-Raiders|AdM|000000015|Fast Attack|If this unit contains between 4 and 6 models, it has <b>Power Rating 6</b>. If this unit contains 7 or more models, it has <b>Power Rating 9</b>.<br>• Every Serberys Raider is equipped with: galvanic carbine; cavalry sabre; clawed limbs.<br>• The Serberys Raider Alpha is equipped with: archeo-revolver; galvanic carbine; cavalry sabre; clawed limbs.||3|||false|false|false||false|
000002083|Pteraxii Sterylizors|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Pteraxii-Sterylizors|AdM|000000015|Fast Attack|If this unit contains 6 or more models, it has <b>Power Rating 8</b>.<br>• Every Pteraxii Sterylizor is equipped with: phosphor torch; Pteraxii talons.<br>• The Pteraxii Sterylizor Alpha is equipped with: flechette blaster; Pteraxii talons; taser goad.||4|||false|false|false||false|
000002084|Pteraxii Skystalkers|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Pteraxii-Skystalkers|AdM|000000015|Fast Attack|If this unit contains 6 or more models, it has <b>Power Rating 8</b>.<br>• Every Pteraxii Skystalker is equipped with: flechette carbine.<br>• The Pteraxii Skystalker Alpha is equipped with: flechette blaster; taser goad.||4|||false|false|false||false|
000002085|Archaeopter Transvector|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Archaeopter-Transvector|AdM|000000015|Flyers|An Archaeopter Transvector is equipped with: 2 cognis heavy stubbers; twin cognis heavy stubber; command uplink.|This model has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 6 <span class="tooltip00153" data-tooltip-content="#tooltip_content00153" data-tooltip-anchor="#tooltip_content00153"><span class="kwb2">&lt;<span class="kwb3">F</span>ORGE</span> <span class="kwb">WORLD&gt;</span> <span class="kwb">INFANTRY</span></span> models.|6|||false|false|false||false|
000002086|Archaeopter Stratoraptor|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Archaeopter-Stratoraptor|AdM|000000015|Flyers|An Archaeopter Stratoraptor is equipped with: 2 cognis heavy stubbers; 2 heavy phosphor blasters; twin cognis lascannon; command uplink.||10|||false|false|false||false|
000002087|Archaeopter Fusilave|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Archaeopter-Fusilave|AdM|000000015|Flyers|An Archaeopter Fusilave is equipped with: 4 cognis heavy stubbers; command uplink.||8|||false|false|false||false|
000002477|Technoarcheologist|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Technoarcheologist|AdM|000000015|HQ|A Technoarcheologist is equipped with: eradication pistol; servo-arc claw.||3|||false|false|false||false|
000002478|Skitarii Marshal|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus/Skitarii-Marshal|AdM|000000015|HQ|A Skitarii Marshal is equipped with: radium serpenta; control stave.||3|||false|false|false||false|
000000568|Eldrad Ulthran|https://wahapedia.ru/wh40k9ed/factions/aeldari/Eldrad-Ulthran|AE|000000186|HQ|Eldrad Ulthran is equipped with: shuriken pistol; the Staff of Ulthamar and witchblade. Your army can only include one <span class="tooltip00157" data-tooltip-content="#tooltip_content00157" data-tooltip-anchor="#tooltip_content00157"><span class="kwb">ELDRAD</span> <span class="kwb">ULTHRAN</span></span> model.||8||This model can attempt to <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifest</a> three psychic powers in your <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a> and attempt to <a href="/wh40k9ed/the-rules/core-rules/#Deny-the-Witch">deny</a> two psychic powers in your opponent’s Psychic phase. It knows <a href="/wh40k9ed/the-rules/core-rules/#Smite">Smite</a> and three psychic powers from the <b><a href="/wh40k9ed/factions/aeldari/#Runes-of-Fortune">Runes of Fortune</a></b> discipline and/or the <b><a href="/wh40k9ed/factions/aeldari/#Runes-of-Fate">Runes of Fate</a></b> discipline.|false|false|false||false|
000000569|Prince Yriel|https://wahapedia.ru/wh40k9ed/factions/aeldari/Prince-Yriel|AE|000000186|HQ|Prince Yriel is equipped with: the Eye of Wrath; the Spear of Twilight. Your army can only include one <span class="tooltip00158" data-tooltip-content="#tooltip_content00158" data-tooltip-anchor="#tooltip_content00158"><span class="kwb">PRINCE</span> <span class="kwb">YRIEL</span></span> model.||5|||false|false|false||false|
000000570|Illic Nightspear|https://wahapedia.ru/wh40k9ed/factions/aeldari/Illic-Nightspear|AE|000000186|HQ|Illic Nightspear is equipped with: shuriken pistol; Voidbringer; Aeldari power sword. Your army can only include one <span class="tooltip00159" data-tooltip-content="#tooltip_content00159" data-tooltip-anchor="#tooltip_content00159"><span class="kwb">ILLIC</span> <span class="kwb">NIGHTSPEAR</span></span> model.||5|||false|false|false||false|
000000571|Asurmen|https://wahapedia.ru/wh40k9ed/factions/aeldari/Asurmen|AE|000000186|HQ|Asurmen is equipped with: the Bloody Twins; the Sword of Asur. Your army can only include one <span class="tooltip00160" data-tooltip-content="#tooltip_content00160" data-tooltip-anchor="#tooltip_content00160"><span class="kwb">ASURMEN</span></span> model.||8|||false|false|false||false|
000000572|Jain Zar|https://wahapedia.ru/wh40k9ed/factions/aeldari/Jain-Zar|AE|000000186|HQ|Jain Zar is equipped with: the Blade of Destruction; the Silent Death; Terror’s Lament. Your army can only include one <span class="tooltip00161" data-tooltip-content="#tooltip_content00161" data-tooltip-anchor="#tooltip_content00161"><span class="kwb">JAIN</span> <span class="kwb">ZAR</span></span> model.||7|||false|false|false||false|
000000573|Karandras|https://wahapedia.ru/wh40k9ed/factions/aeldari/Karandras|AE|000000186|HQ|Karandras is equipped with: Arhra’s Bane; Isirmathil; the Scorpion’s Bite. Your army can only include one <span class="tooltip00162" data-tooltip-content="#tooltip_content00162" data-tooltip-anchor="#tooltip_content00162"><span class="kwb">KARANDRAS</span></span> model.||7|||false|false|false||false|
000000574|Fuegan|https://wahapedia.ru/wh40k9ed/factions/aeldari/Fuegan|AE|000000186|HQ|Fuegan is equipped with: Searsong; the Fire Axe. Your army can only include one <span class="tooltip00163" data-tooltip-content="#tooltip_content00163" data-tooltip-anchor="#tooltip_content00163"><span class="kwb">FUEGAN</span></span> model.||8|||false|false|false||false|
000000575|Baharroth|https://wahapedia.ru/wh40k9ed/factions/aeldari/Baharroth|AE|000000186|HQ|Baharroth is equipped with: Fury of the Tempest; the Shining Blade. Your army can only include one <span class="tooltip00164" data-tooltip-content="#tooltip_content00164" data-tooltip-anchor="#tooltip_content00164"><span class="kwb">BAHARROTH</span></span> model.||7|||false|false|false||false|
000000576|Maugan Ra|https://wahapedia.ru/wh40k9ed/factions/aeldari/Maugan-Ra|AE|000000186|HQ|Maugan Ra is equipped with: the Maugetar. Your army can only include one <span class="tooltip00165" data-tooltip-content="#tooltip_content00165" data-tooltip-anchor="#tooltip_content00165"><span class="kwb">MAUGAN</span> <span class="kwb">RA</span></span> model.||8|||false|false|false||false|
000000577|Autarch|https://wahapedia.ru/wh40k9ed/factions/aeldari/Autarch|AE|000000186|HQ|An Autarch is equipped with: shuriken pistol; star glaive; plasma grenades.||5|||false|false|false||false|
000000579|Autarch with Warp Jump Generator|https://wahapedia.ru/wh40k9ed/factions/aeldari/Autarch-with-Warp-Jump-Generator|AE|000000108|HQ|An Autarch with Warp Jump Generator is a single model equipped with: shuriken pistol; plasma grenades. It has a forceshield.||5|||false|false|false||false|
000000580|Autarch Skyrunner|https://wahapedia.ru/wh40k9ed/factions/aeldari/Autarch-Skyrunner|AE|000000186|HQ|An Autarch Sky runner is equipped with: laser lance; twin shuriken catapult.||5|||false|false|false||false|
